time,US
11/19/2020,11809680
11/20/2020,12010765
11/21/2020,12188369
11/22/2020,12333604
11/23/2020,12517890
11/24/2020,12692858
11/25/2020,12874109
11/26/2020,12987020
11/27/2020,13202222
11/28/2020,13369711
11/29/2020,13509384
11/30/2020,13667915
12/1/2020,13866746
12/2/2020,14063762
12/3/2020,14283185
12/4/2020,14518319
12/5/2020,14738242
12/6/2020,14916373
12/7/2020,15112614
12/8/2020,15340113
12/9/2020,15555848
12/10/2020,15791625
12/11/2020,16028527
12/12/2020,16251283
12/13/2020,16441925
12/14/2020,16652286
12/15/2020,16879507
12/16/2020,17113650
12/17/2020,17352824
12/18/2020,17599264
12/19/2020,17804289
12/20/2020,17990458
12/21/2020,18187883
12/22/2020,18393673
12/23/2020,18614460
12/24/2020,18826055
12/25/2020,18951579
12/26/2020,19169547
12/27/2020,19305730
12/28/2020,19480363
12/29/2020,19687204
12/30/2020,19905952
12/31/2020,20219878
